timestamp,zone_id,occupancy
2026-01-14 23:00:00,Z001,4.0
2026-01-14 23:30:00,Z001,4.0
2026-01-15 00:00:00,Z001,4.0
2026-01-15 00:30:00,Z001,3.0
2026-01-15 01:00:00,Z001,1.0
2026-01-15 01:30:00,Z001,0.0
2026-01-15 02:00:00,Z001,0.0
2026-01-15 02:30:00,Z001,0.0
2026-01-15 03:00:00,Z001,0.0
2026-01-15 03:30:00,Z001,1.0
2026-01-15 04:00:00,Z001,1.0
2026-01-15 04:30:00,Z001,1.0
2026-01-15 05:00:00,Z001,1.0
2026-01-15 05:30:00,Z001,3.0
2026-01-15 06:00:00,Z001,3.0
2026-01-15 06:30:00,Z001,5.0
2026-01-15 07:00:00,Z001,8.0
2026-01-15 07:30:00,Z001,6.0
2026-01-15 08:00:00,Z001,7.0
2026-01-15 08:30:00,Z001,13.0
2026-01-15 09:00:00,Z001,14.0
2026-01-15 09:30:00,Z001,19.0
2026-01-15 10:00:00,Z001,18.0
2026-01-15 10:30:00,Z001,17.0
2026-01-15 11:00:00,Z001,14.0
2026-01-15 11:30:00,Z001,8.0
2026-01-15 12:00:00,Z001,13.0
2026-01-15 12:30:00,Z001,18.0
2026-01-15 13:00:00,Z001,15.0
2026-01-15 13:30:00,Z001,16.0
2026-01-15 14:00:00,Z001,17.0
2026-01-15 14:30:00,Z001,14.0
2026-01-15 15:00:00,Z001,13.0
2026-01-15 15:30:00,Z001,9.0
2026-01-15 16:00:00,Z001,6.0
2026-01-15 16:30:00,Z001,5.0
2026-01-15 17:00:00,Z001,4.0
2026-01-15 17:30:00,Z001,11.0
2026-01-15 18:00:00,Z001,19.0
2026-01-15 18:30:00,Z001,20.0
2026-01-15 19:00:00,Z001,29.0
2026-01-15 19:30:00,Z001,21.0
2026-01-15 20:00:00,Z001,22.0
2026-01-15 20:30:00,Z001,15.0
2026-01-15 21:00:00,Z001,8.0
2026-01-15 21:30:00,Z001,6.0
2026-01-15 22:00:00,Z001,7.0
2026-01-15 22:30:00,Z001,6.0
2026-01-15 23:00:00,Z001,8.0
2026-01-15 23:30:00,Z001,8.0
2026-01-16 00:00:00,Z001,7.0
2026-01-16 00:30:00,Z001,5.0
2026-01-16 01:00:00,Z001,3.0
2026-01-16 01:30:00,Z001,2.0
2026-01-16 02:00:00,Z001,1.0
2026-01-16 02:30:00,Z001,0.0
2026-01-16 03:00:00,Z001,1.0
2026-01-16 03:30:00,Z001,1.0
2026-01-16 04:00:00,Z001,1.0
2026-01-16 04:30:00,Z001,2.0
2026-01-16 05:00:00,Z001,1.0
2026-01-16 05:30:00,Z001,2.0
2026-01-16 06:00:00,Z001,1.0
2026-01-16 06:30:00,Z001,1.0
2026-01-16 07:00:00,Z001,1.0
2026-01-16 07:30:00,Z001,4.0
2026-01-16 08:00:00,Z001,6.0
2026-01-16 08:30:00,Z001,12.0
2026-01-16 09:00:00,Z001,14.0
2026-01-16 09:30:00,Z001,17.0
2026-01-16 10:00:00,Z001,6.0
2026-01-16 10:30:00,Z001,14.0
2026-01-16 11:00:00,Z001,17.0
2026-01-16 11:30:00,Z001,13.0
2026-01-16 12:00:00,Z001,10.0
2026-01-16 12:30:00,Z001,13.0
2026-01-16 13:00:00,Z001,16.0
2026-01-16 13:30:00,Z001,21.0
2026-01-16 14:00:00,Z001,18.0
2026-01-16 14:30:00,Z001,12.0
2026-01-16 15:00:00,Z001,9.0
2026-01-16 15:30:00,Z001,6.0
2026-01-16 16:00:00,Z001,7.0
2026-01-16 16:30:00,Z001,3.0
2026-01-16 17:00:00,Z001,1.0
2026-01-16 17:30:00,Z001,13.0
2026-01-16 18:00:00,Z001,14.0
2026-01-16 18:30:00,Z001,21.0
2026-01-16 19:00:00,Z001,22.0
2026-01-16 19:30:00,Z001,19.0
